id,Nom du terril,Adresse exacte,Espace protégé ?,Commune,Organisme gestionnaire,Adresse organisme,Contact principal,Email,Téléphone,Déjà contacté ?,Prochaine relance,Gare la plus proche,Commune de la gare,Distance à pieds,Notes,Photo du terril
1,"Terril n°1, 5 de Bruay Nord",,UNESCO (à vérifier),Divion et Bruay-la-Buissière,,,,,,,,,,,,
2,"Terril n°1A, 5 de Bruay Sud",,UNESCO (à vérifier),Divion,,,,,,,,,,,,
3,"Terril n°2, 6 de Bruay Est",,UNESCO (à vérifier),Ruitz et Maisnil-lès-Ruitz,,,,,,,,,,,,
4,"Terril n°3, 6 de Bruay Ouest",,UNESCO (à vérifier),Ruitz et Maisnil-lès-Ruitz,,,,,,,,,,,,
5,"Terril n°4, 2 bis d'Auchel Est",,UNESCO (à vérifier),Marles-les-Mines,,,,,,,,,,,,
6,"Terril n°5, Lapugnoy",,UNESCO (à vérifier),Lapugnoy,,,,,,,,,,,,
7,"Terril n°6, Bois de Lapugnoy",,UNESCO (à vérifier),Bruay-la-Buissière,,,,,,,,,,,,
8,"Terril n°7, 6 de Bruay (décharge)",,UNESCO (à vérifier),Haillicourt,,,,,,,,,,,,
9,"Terril n°8, 3 ter d'Auchel et mare à boue",,UNESCO (à vérifier),Auchel et Marles-les-Mines,,,,,,,,,,,,
10,"Terril n°9, 2 bis de Bruay Ouest",,UNESCO (à vérifier),Haillicourt,,,,,,,,,,,,
11,"Terril n°9A, 2 bis de Bruay Est",,UNESCO (à vérifier),Haillicourt,,,,,,,,,,,,
12,"Terril n°10, 3 de Bruay Ouest",,UNESCO (à vérifier),Bruay-la-Buissière,,,,,,,,,,,,
13,"Terril n°10A, 3 de Bruay Est",,UNESCO (à vérifier),Bruay-la-Buissière,,,,,,,,,,,,
14,"Terril n°11, Usines de Labuissière Est",,UNESCO (à vérifier),Bruay-la-Buissière,,,,,,,,,,,,
15,"Terril n°12, Usines de Labuissière Ouest",,UNESCO (à vérifier),Bruay-la-Buissière,,,,,,,,,,,,
16,"Terril n°13, 3 d'Auchel Est",,UNESCO (à vérifier),Lozinghem,,,,,,,,,,,,
17,"Terril n°14, 5 d'Auchel",,UNESCO (à vérifier),Auchel,,,,,,,,,,,,
18,"Terril n°15, 6 d'Auchel",,UNESCO (à vérifier),Calonne-Ricouart,,,,,,,,,,,,
19,"Terril n°16, 1 de Ferfay",,UNESCO (à vérifier),Ferfay,,,,,,,,,,,,
